 ****  Molecular Integrals For CheMPS Start Here 
 Symmetry Label = ci 
 Nirreps = 2 
 Nuclear Repulsion Energy = 125.7780076248893124 
 Number Of Molecular Orbitals = 8 
 Irreps Of Molecular Orbitals = 
 0 1 0 1 0 1 0 1 0 1 0 1 0 1 
 ...
 ...
 ****  MO OEI
 0 0 -38.0120093599102872872208536
 1 1 -34.3590227579846185790302115
 2 0 2.7863680157663526237854512
 0 2 2.7863680157663526237854512
 2 2 -32.2783347657451784584736743
 3 1 -3.2605727076628894245402535
 1 3 -3.2605727076628894245402535
 3 3 -32.7581566156044274862324528
 4 0 0.5076131527934308884653092
 0 4 0.5076131527934308884653092
 4 2 3.1223460628604473576785949
 2 4 3.1223460628604473576785949
 4 4 -30.7221366099420301054578886
 5 1 -1.7001487024506340972607177
 1 5 -1.7001487024506340972607177
 5 3 2.3966079319152968629680345
 3 5 2.3966079319152968629680345
 5 5 -27.4398506512457593942144740
 6 0 -0.6785884679364977412063809
 0 6 -0.6785884679364977412063809
 6 2 -1.0852313269723903310648438
 2 6 -1.0852313269723903310648438
 6 4 -3.1048666021309654361459707
 4 6 -3.1048666021309654361459707
 6 6 -26.9975268892919189056556206
 7 1 0.3387517744939536612491793
 1 7 0.3387517744939536612491793
 7 3 -0.3793383529417371224923272
 3 7 -0.3793383529417371224923272
 7 5 -2.7127866600529988438950113
 5 7 -2.7127866600529988438950113
 7 7 -28.9889776000545751344361634
 ****  MO TEI
 0 0 0 0 6.2124965644
 1 0 1 0 1.7102662956
 0 1 1 0 1.7102662956
 1 0 0 1 1.7102662956
 0 1 0 1 1.7102662956
 1 1 0 0 5.2562671101
 0 0 1 1 5.2562671101
 1 1 1 1 5.3382573018
 2 0 0 0 -0.9308430722
 0 2 0 0 -0.9308430722
 2 0 0 0 -0.9308430722
 0 2 0 0 -0.9308430722
 0 0 2 0 -0.9308430722
 0 0 0 2 -0.9308430722
 0 0 2 0 -0.9308430722
 0 0 0 2 -0.9308430722
 2 0 1 1 0.0763848880
 0 2 1 1 0.0763848880
 2 0 1 1 0.0763848880
 0 2 1 1 0.0763848880
 1 1 2 0 0.0763848880
 1 1 0 2 0.0763848880
 1 1 2 0 0.0763848880
 1 1 0 2 0.0763848880
 2 0 2 0 0.9780960703
 0 2 2 0 0.9780960703
 2 0 0 2 0.9780960703
 0 2 0 2 0.9780960703
 2 1 1 0 1.1872904552
 1 2 1 0 1.1872904552
 2 1 0 1 1.1872904552
 1 2 0 1 1.1872904552
 1 0 2 1 1.1872904552
 1 0 1 2 1.1872904552
 0 1 2 1 1.1872904552
 0 1 1 2 1.1872904552
 2 1 2 1 1.4964402253
 1 2 2 1 1.4964402253
 2 1 1 2 1.4964402253
 1 2 1 2 1.4964402253
 2 2 0 0 5.1243858702
 0 0 2 2 5.1243858702
 2 2 1 1 5.1377054189
 1 1 2 2 5.1377054189
 2 2 2 0 0.0198738597
 2 2 2 0 0.0198738597
 2 2 0 2 0.0198738597
 2 2 0 2 0.0198738597
 2 0 2 2 0.0198738597
 2 0 2 2 0.0198738597
 0 2 2 2 0.0198738597
 0 2 2 2 0.0198738597
 2 2 2 2 5.1647233392
 3 0 1 0 0.5098498776
 0 3 1 0 0.5098498776
 3 0 0 1 0.5098498776
 0 3 0 1 0.5098498776
 1 0 3 0 0.5098498776
 1 0 0 3 0.5098498776
 0 1 3 0 0.5098498776
 0 1 0 3 0.5098498776
 3 0 2 1 -0.2914967443
 0 3 2 1 -0.2914967443
 3 0 1 2 -0.2914967443
 0 3 1 2 -0.2914967443
 2 1 3 0 -0.2914967443
 2 1 0 3 -0.2914967443
 1 2 3 0 -0.2914967443
 1 2 0 3 -0.2914967443
 3 0 3 0 0.7767170626
 0 3 3 0 0.7767170626
 3 0 0 3 0.7767170626
 0 3 0 3 0.7767170626
 3 1 0 0 0.9671670109
 1 3 0 0 0.9671670109
 3 1 0 0 0.9671670109
 1 3 0 0 0.9671670109
 0 0 3 1 0.9671670109
 0 0 1 3 0.9671670109
 0 0 3 1 0.9671670109
 0 0 1 3 0.9671670109
 3 1 1 1 0.0862971336
 1 3 1 1 0.0862971336
 3 1 1 1 0.0862971336
 1 3 1 1 0.0862971336
 1 1 3 1 0.0862971336
 1 1 1 3 0.0862971336
 1 1 3 1 0.0862971336
 1 1 1 3 0.0862971336
 3 1 2 0 -0.8651588780
 1 3 2 0 -0.8651588780
 3 1 0 2 -0.8651588780
 1 3 0 2 -0.8651588780
 2 0 3 1 -0.8651588780
 2 0 1 3 -0.8651588780
 0 2 3 1 -0.8651588780
 0 2 1 3 -0.8651588780
 3 1 2 2 -0.0547325549
 1 3 2 2 -0.0547325549
 3 1 2 2 -0.0547325549
 1 3 2 2 -0.0547325549
 2 2 3 1 -0.0547325549
 2 2 1 3 -0.0547325549
 2 2 3 1 -0.0547325549
 2 2 1 3 -0.0547325549
 3 1 3 1 0.9304932542
 1 3 3 1 0.9304932542
 3 1 1 3 0.9304932542
 1 3 1 3 0.9304932542
 3 2 1 0 -1.4839958765
 2 3 1 0 -1.4839958765
 3 2 0 1 -1.4839958765
 2 3 0 1 -1.4839958765
 1 0 3 2 -1.4839958765
 1 0 2 3 -1.4839958765
 0 1 3 2 -1.4839958765
 0 1 2 3 -1.4839958765
 3 2 2 1 -1.2666282075
 2 3 2 1 -1.2666282075
 3 2 1 2 -1.2666282075
 2 3 1 2 -1.2666282075
 2 1 3 2 -1.2666282075
 2 1 2 3 -1.2666282075
 1 2 3 2 -1.2666282075
 1 2 2 3 -1.2666282075
 3 2 3 0 -0.2395303142
 2 3 3 0 -0.2395303142
 3 2 0 3 -0.2395303142
 2 3 0 3 -0.2395303142
 3 0 3 2 -0.2395303142
 3 0 2 3 -0.2395303142
 0 3 3 2 -0.2395303142
 0 3 2 3 -0.2395303142
 3 2 3 2 1.4877426959
 2 3 3 2 1.4877426959
 3 2 2 3 1.4877426959
 2 3 2 3 1.4877426959
 3 3 0 0 5.7220971952
 0 0 3 3 5.7220971952
 3 3 1 1 5.1719075809
 1 1 3 3 5.1719075809
 3 3 2 0 -0.5402043445
 3 3 2 0 -0.5402043445
 3 3 0 2 -0.5402043445
 3 3 0 2 -0.5402043445
 2 0 3 3 -0.5402043445
 2 0 3 3 -0.5402043445
 0 2 3 3 -0.5402043445
 0 2 3 3 -0.5402043445
 3 3 2 2 5.0677317259
 2 2 3 3 5.0677317259
 3 3 3 1 0.5926282379
 3 3 3 1 0.5926282379
 3 3 1 3 0.5926282379
 3 3 1 3 0.5926282379
 3 1 3 3 0.5926282379
 3 1 3 3 0.5926282379
 1 3 3 3 0.5926282379
 1 3 3 3 0.5926282379
